N,P,K,temperature,humidity,ph,rainfall,label
45.0,64.0,31.0,28.95,61.7,5.39,132.78,blackgram
109.0,18.0,54.0,28.57,87.2,6.2,56.36,watermelon
23.0,110.0,29.0,19.71,20.66,6.47,146.81,kidneybeans
57.0,71.0,94.0,17.92,21.29,6.78,90.25,chickpea
30.0,43.0,18.0,28.22,84.86,6.52,164.52,mungbean
18.0,16.0,23.0,31.42,49.61,5.34,131.78,mango
20.0,20.0,22.0,26.47,55.77,6.45,91.39,mango
105.0,71.0,64.0,31.9,72.89,5.58,137.24,banana
23.0,23.0,11.0,13.29,90.99,6.76,100.37,orange
55.0,65.0,49.0,35.32,88.81,7.5,152.58,papaya
103.0,81.0,59.0,31.47,79.12,5.74,171.3,banana
19.0,66.0,23.0,25.62,16.73,5.89,154.05,pigeonpeas
108.0,45.0,16.0,29.86,76.19,6.37,113.48,cotton
100.0,76.0,51.0,27.38,78.8,5.12,192.91,banana
110.0,34.0,29.0,25.63,56.76,6.42,186.08,coffee
18.0,13.0,24.0,30.38,52.15,4.83,109.36,mango
66.0,48.0,48.0,26.71,59.78,6.4,148.5,maize
19.0,50.0,22.0,30.08,49.06,5.98,51.06,mothbeans
13.0,88.0,24.0,16.71,68.73,6.91,33.83,lentil
97.0,88.0,62.0,28.16,72.15,5.85,160.62,banana
15.0,23.0,12.0,14.08,95.67,7.24,105.71,orange
65.0,41.0,50.0,27.37,55.86,5.83,63.17,maize
15.0,21.0,20.0,23.24,88.84,6.86,168.01,pomegranate
102.0,40.0,35.0,26.71,63.91,6.53,85.92,maize
43.0,91.0,80.0,15.12,14.07,6.11,96.31,chickpea
18.0,104.0,31.0,20.81,67.81,5.88,32.25,lentil
23.0,15.0,32.0,26.85,95.36,7.81,85.72,coconut
107.0,33.0,34.0,23.14,69.09,6.04,211.45,coffee
62.0,38.0,54.0,25.99,81.85,5.81,205.57,rice
79.0,33.0,37.0,22.34,56.77,5.94,109.82,maize
17.0,66.0,16.0,25.84,14.94,5.09,135.03,pigeonpeas
73.0,45.0,33.0,26.18,71.64,6.51,50.64,maize
16.0,12.0,22.0,30.84,49.53,5.32,138.34,mango
18.0,131.0,202.0,22.84,92.14,5.86,111.07,apple
129.0,42.0,22.0,24.61,79.14,5.87,68.15,cotton
17.0,143.0,201.0,22.58,91.66,6.97,109.59,apple
60.0,59.0,51.0,28.96,83.29,6.84,235.68,jute
15.0,135.0,204.0,23.73,92.62,6.41,129.9,apple
108.0,31.0,31.0,26.08,62.53,6.02,240.01,coffee
15.0,20.0,20.0,19.93,89.32,6.25,167.23,pomegranate
89.0,36.0,42.0,23.27,63.52,5.76,138.66,maize
29.0,62.0,61.0,16.75,20.93,5.98,97.52,chickpea
49.0,55.0,49.0,33.32,94.6,7.04,134.93,papaya
109.0,10.0,52.0,34.35,90.65,6.61,22.41,muskmelon
59.0,84.0,74.0,21.48,14.98,7.01,75.15,chickpea
67.0,51.0,42.0,27.49,81.38,6.01,167.02,rice
17.0,59.0,24.0,29.67,91.12,6.65,162.15,mungbean
98.0,77.0,55.0,29.18,76.72,6.4,143.37,banana
111.0,54.0,23.0,23.99,82.69,7.81,64.71,cotton
20.0,25.0,16.0,23.68,95.33,6.77,164.53,pomegranate
56.0,98.0,96.0,19.19,20.24,6.31,74.88,chickpea
51.0,58.0,50.0,34.8,95.62,6.83,160.1,papaya
20.0,16.0,19.0,16.15,82.61,6.16,75.85,grapes
49.0,55.0,30.0,31.22,62.1,5.24,131.84,blackgram
25.0,18.0,17.0,26.22,50.3,6.13,158.13,mango
126.0,47.0,22.0,26.97,80.88,6.53,87.73,cotton
22.0,76.0,17.0,22.57,14.8,6.53,177.3,pigeonpeas
27.0,53.0,16.0,26.74,56.81,5.7,70.81,mothbeans
22.0,25.0,25.0,11.29,80.5,5.8,79.04,grapes
22.0,14.0,15.0,30.28,53.79,5.68,170.98,mango
85.0,79.0,49.0,30.41,76.74,5.7,136.11,banana
107.0,17.0,53.0,29.37,82.12,6.97,54.21,watermelon
31.0,59.0,27.0,29.23,86.93,6.25,198.43,mungbean
99.0,30.0,59.0,20.35,88.91,6.29,298.94,rice
19.0,18.0,22.0,22.62,90.45,5.6,184.88,pomegranate
21.0,93.0,28.0,18.41,63.01,6.66,52.42,lentil
103.0,15.0,51.0,27.19,89.68,6.76,58.54,watermelon
105.0,12.0,53.0,32.64,86.34,6.09,51.79,muskmelon
14.0,130.0,199.0,22.52,92.64,6.83,111.42,apple
90.0,49.0,55.0,25.26,85.68,5.64,205.16,rice
17.0,19.0,24.0,30.61,50.34,5.18,139.42,mango
107.0,9.0,52.0,32.32,85.43,6.68,34.51,muskmelon
18.0,62.0,23.0,30.1,54.14,4.23,78.44,mothbeans
107.0,27.0,29.0,25.69,67.65,6.06,209.67,coffee
21.0,15.0,11.0,10.31,94.17,7.23,104.13,orange
97.0,11.0,51.0,25.12,90.01,6.97,46.44,watermelon
14.0,106.0,16.0,15.76,62.74,5.9,40.43,lentil
76.0,30.0,57.0,20.73,83.19,6.93,292.59,rice
50.0,97.0,77.0,17.59,17.48,6.73,50.45,chickpea
85.0,57.0,57.0,25.22,82.61,6.02,234.8,jute
34.0,73.0,99.0,23.57,19.61,6.74,78.1,chickpea
17.0,19.0,17.0,20.95,96.72,6.92,158.0,pomegranate
23.0,76.0,72.0,21.77,18.85,6.12,60.89,chickpea
98.0,30.0,29.0,27.45,55.14,6.98,212.44,coffee
22.0,16.0,28.0,26.44,90.07,5.69,127.44,coconut
25.0,22.0,37.0,25.7,93.44,5.29,123.7,coconut
99.0,17.0,55.0,24.52,90.62,6.39,55.72,watermelon
36.0,70.0,32.0,25.54,61.46,7.24,126.24,blackgram
19.0,93.0,30.0,20.45,17.1,5.57,124.36,pigeonpeas
25.0,100.0,30.0,21.74,18.31,6.98,168.6,pigeonpeas
21.0,17.0,17.0,10.96,96.36,7.45,114.54,orange
16.0,21.0,12.0,10.09,91.89,6.43,102.24,orange
109.0,41.0,22.0,24.91,81.24,7.33,79.31,cotton
20.0,99.0,26.0,15.11,66.97,6.25,72.42,lentil
102.0,35.0,25.0,26.84,69.48,6.34,214.81,coffee
67.0,31.0,43.0,21.69,72.29,6.45,146.82,maize
52.0,65.0,49.0,34.01,90.64,7.19,171.24,papaya
18.0,58.0,20.0,31.97,51.8,5.2,78.29,mothbeans
18.0,24.0,33.0,29.25,90.48,5.68,107.42,coconut
101.0,14.0,47.0,28.9,83.11,6.83,58.08,watermelon
74.0,48.0,30.0,24.64,74.27,6.62,143.68,maize
64.0,53.0,50.0,25.29,80.7,7.37,151.56,jute
43.0,57.0,27.0,24.97,61.18,6.32,130.21,blackgram
65.0,47.0,46.0,25.71,71.9,7.02,112.62,maize
35.0,48.0,19.0,28.91,85.04,6.31,100.14,mungbean
21.0,24.0,23.0,21.74,91.15,6.58,109.12,pomegranate
45.0,67.0,31.0,27.45,71.79,6.16,170.57,blackgram
17.0,128.0,195.0,23.35,90.37,6.98,120.24,apple
53.0,92.0,82.0,20.2,15.14,6.82,63.57,chickpea
16.0,103.0,16.0,16.23,62.03,6.3,68.06,lentil
16.0,136.0,204.0,22.49,94.71,6.84,117.29,apple
23.0,16.0,21.0,31.44,51.28,5.33,177.95,mango
30.0,46.0,17.0,24.42,53.26,3.69,91.82,mothbeans
107.0,43.0,19.0,26.46,84.66,7.94,111.07,cotton
16.0,25.0,24.0,18.47,97.33,6.23,184.47,pomegranate
17.0,123.0,32.0,18.81,23.61,6.53,141.16,kidneybeans
77.0,37.0,55.0,26.4,86.95,5.91,238.53,rice
129.0,45.0,24.0,23.65,78.34,6.57,63.1,cotton
23.0,15.0,21.0,26.14,53.46,6.96,94.41,mango
98.0,77.0,53.0,30.82,75.1,6.89,117.96,banana
11.0,115.0,31.0,19.73,23.98,6.34,116.06,kidneybeans
24.0,64.0,22.0,30.74,51.46,5.98,86.59,mothbeans
16.0,16.0,24.0,15.72,83.98,6.17,76.85,grapes
101.0,13.0,54.0,32.08,91.22,6.5,30.45,muskmelon
104.0,13.0,48.0,26.59,85.47,6.2,40.37,muskmelon
33.0,59.0,26.0,25.61,88.69,6.73,147.07,mungbean
62.0,44.0,48.0,19.8,59.75,7.44,68.1,maize
17.0,137.0,16.0,18.37,18.98,6.39,107.52,kidneybeans
24.0,19.0,16.0,25.06,51.96,4.77,121.1,mango
111.0,15.0,54.0,26.68,83.73,6.05,47.39,watermelon
110.0,9.0,50.0,25.67,83.61,6.43,43.93,watermelon
29.0,137.0,28.0,20.52,20.42,6.63,126.56,kidneybeans
17.0,18.0,17.0,10.38,94.88,7.02,110.11,orange
18.0,60.0,17.0,28.41,85.64,7.03,112.9,mungbean
29.0,98.0,24.0,20.83,18.1,5.7,129.99,pigeonpeas
23.0,20.0,21.0,19.2,90.87,5.82,124.93,pomegranate
16.0,13.0,22.0,28.9,52.31,6.21,147.37,mango
93.0,32.0,47.0,22.95,64.61,6.68,132.47,maize
16.0,57.0,28.0,24.14,47.49,5.5,90.97,mothbeans
37.0,57.0,35.0,26.29,66.36,6.62,101.85,blackgram
22.0,59.0,26.0,31.96,49.88,5.38,76.67,mothbeans
23.0,22.0,23.0,21.22,81.36,5.84,74.68,grapes
14.0,115.0,31.0,21.29,20.31,6.19,115.16,kidneybeans
10.0,89.0,27.0,18.76,65.35,7.25,71.06,lentil
17.0,122.0,16.0,19.7,22.99,6.71,111.22,kidneybeans
17.0,20.0,23.0,23.7,94.34,6.21,160.33,pomegranate
27.0,24.0,28.0,28.76,95.24,7.3,136.81,coconut
102.0,14.0,54.0,25.41,94.19,6.61,48.26,muskmelon
25.0,22.0,37.0,26.05,97.96,7.32,165.82,coconut
18.0,24.0,24.0,21.35,91.25,6.09,103.34,pomegranate
21.0,67.0,30.0,24.91,16.65,6.35,131.67,pigeonpeas
62.0,54.0,56.0,31.7,72.98,6.8,206.75,jute
23.0,92.0,22.0,24.39,15.54,5.29,175.05,pigeonpeas
77.0,58.0,56.0,20.36,80.26,6.06,271.58,rice
94.0,51.0,44.0,20.78,84.92,6.21,175.98,rice
18.0,13.0,22.0,27.74,55.12,4.89,161.1,mango
17.0,18.0,22.0,22.54,94.67,5.97,158.81,pomegranate
99.0,26.0,30.0,25.74,60.02,6.63,156.87,coffee
114.0,53.0,20.0,26.75,83.61,6.88,100.89,cotton
16.0,17.0,18.0,30.56,56.96,4.69,132.57,mango
18.0,47.0,18.0,31.39,55.21,4.74,82.79,mothbeans
16.0,44.0,23.0,31.54,90.35,7.3,130.32,mungbean
118.0,43.0,24.0,27.53,79.78,7.59,87.05,cotton
24.0,57.0,27.0,29.63,55.34,3.7,87.38,mothbeans
13.0,111.0,22.0,19.63,22.08,5.59,101.73,kidneybeans
28.0,18.0,36.0,26.19,95.9,7.39,105.9,coconut
22.0,50.0,29.0,26.68,56.52,5.37,81.58,mothbeans
111.0,52.0,16.0,24.55,80.04,7.63,68.85,cotton
107.0,45.0,22.0,29.67,84.63,7.02,96.4,cotton
106.0,9.0,54.0,33.95,86.9,6.34,41.47,muskmelon
23.0,17.0,18.0,21.08,91.31,7.22,147.38,pomegranate
1.0,144.0,201.0,23.98,92.69,6.57,101.69,apple
98.0,86.0,60.0,26.84,74.45,6.93,100.82,banana
53.0,64.0,53.0,33.58,89.17,6.63,159.06,papaya
85.0,55.0,55.0,24.84,75.42,6.1,150.87,jute
90.0,42.0,49.0,25.91,82.61,7.21,246.63,jute
11.0,98.0,20.0,20.28,65.17,7.35,54.71,lentil
97.0,88.0,59.0,26.41,76.3,5.99,105.52,banana
72.0,52.0,54.0,30.48,82.21,6.17,218.26,jute
19.0,142.0,200.0,22.7,90.03,5.82,100.74,apple
100.0,17.0,46.0,26.56,87.32,6.9,69.93,watermelon
52.0,59.0,48.0,36.98,95.58,6.9,146.49,papaya
19.0,58.0,20.0,31.98,49.64,4.48,96.53,mothbeans
16.0,25.0,18.0,13.35,80.46,5.72,79.53,grapes
104.0,15.0,46.0,25.52,91.19,6.67,40.4,watermelon
99.0,87.0,51.0,27.48,81.06,6.8,197.65,banana
21.0,59.0,28.0,30.06,82.78,6.34,149.28,mungbean
28.0,62.0,20.0,29.5,50.13,3.71,85.08,mothbeans
13.0,140.0,200.0,22.15,93.24,6.86,112.5,apple
23.0,25.0,20.0,12.83,80.93,5.51,75.18,grapes
16.0,18.0,20.0,10.87,81.51,5.9,80.49,grapes
7.0,137.0,204.0,23.87,92.92,5.56,129.08,apple
24.0,15.0,12.0,13.05,92.55,7.16,119.43,orange
18.0,18.0,15.0,12.8,92.9,6.96,105.42,orange
21.0,18.0,32.0,28.53,94.53,7.78,78.18,coconut
85.0,46.0,57.0,26.31,81.52,5.97,187.27,rice
35.0,56.0,29.0,28.58,66.07,5.91,116.26,blackgram
55.0,58.0,45.0,33.74,90.83,7.09,142.92,papaya
32.0,84.0,72.0,18.0,19.95,5.58,95.14,chickpea
101.0,34.0,32.0,25.12,65.66,6.87,247.57,coffee
21.0,62.0,28.0,25.95,52.51,4.17,55.09,mothbeans
23.0,11.0,23.0,24.55,47.13,6.75,142.32,mango
21.0,47.0,24.0,24.97,56.86,6.23,69.51,mothbeans
115.0,33.0,30.0,27.4,60.21,6.79,172.37,coffee
35.0,88.0,34.0,22.12,20.26,6.53,155.33,pigeonpeas
20.0,92.0,19.0,21.89,65.65,7.22,35.29,lentil
15.0,96.0,23.0,20.64,61.15,7.49,49.15,lentil
10.0,108.0,31.0,23.37,60.93,6.98,73.2,lentil
110.0,34.0,29.0,25.04,61.5,6.92,219.26,coffee
34.0,45.0,20.0,26.29,87.77,6.4,135.62,mungbean
22.0,13.0,16.0,24.63,51.26,6.86,109.6,mango
23.0,19.0,21.0,22.32,90.41,5.84,197.21,pomegranate
24.0,123.0,24.0,19.1,22.61,5.84,134.62,kidneybeans
23.0,48.0,25.0,30.36,48.63,3.87,57.28,mothbeans
18.0,51.0,29.0,25.03,84.38,7.42,117.11,mungbean
109.0,50.0,25.0,27.56,81.07,6.7,78.75,cotton
75.0,53.0,40.0,27.45,88.58,6.14,262.63,rice
57.0,64.0,48.0,35.45,91.26,7.49,130.56,papaya
17.0,17.0,19.0,31.86,53.65,6.89,108.13,mango
98.0,16.0,52.0,27.02,88.41,6.97,40.8,muskmelon
56.0,56.0,44.0,34.49,92.63,6.91,127.24,papaya
27.0,119.0,22.0,21.17,20.71,5.78,142.75,kidneybeans
68.0,54.0,46.0,30.75,74.35,6.02,176.85,jute
22.0,22.0,34.0,25.26,90.63,5.06,121.35,coconut
14.0,127.0,23.0,19.61,23.31,6.84,145.46,kidneybeans
16.0,22.0,14.0,13.31,97.19,7.18,115.62,orange
84.0,56.0,56.0,24.81,85.99,6.18,162.47,jute
25.0,22.0,10.0,11.02,92.6,6.01,113.63,orange
24.0,60.0,25.0,25.65,50.52,3.94,56.49,mothbeans
3.0,139.0,198.0,23.73,93.36,6.47,116.78,apple
11.0,130.0,195.0,22.72,91.68,5.77,109.72,apple
17.0,22.0,9.0,14.59,90.65,7.37,109.82,orange
85.0,48.0,57.0,20.36,82.81,6.93,283.54,rice
113.0,45.0,24.0,24.05,84.46,6.92,115.58,cotton
110.0,43.0,15.0,24.68,78.45,7.63,81.98,cotton
25.0,21.0,29.0,28.28,97.39,5.48,149.63,coconut
31.0,71.0,86.0,24.69,18.83,5.63,53.78,chickpea
8.0,135.0,200.0,23.92,90.23,6.93,117.46,apple
37.0,55.0,32.0,24.26,74.1,7.23,140.16,blackgram
16.0,17.0,20.0,18.12,90.53,6.53,101.5,pomegranate
93.0,44.0,34.0,24.59,62.88,6.8,60.66,maize
55.0,58.0,49.0,33.26,88.89,7.2,143.4,papaya
27.0,137.0,23.0,18.2,18.24,6.36,119.64,kidneybeans
56.0,87.0,82.0,16.11,17.58,6.28,93.23,chickpea
26.0,68.0,16.0,20.74,18.68,6.09,118.7,pigeonpeas
74.0,43.0,46.0,27.27,59.69,6.3,65.24,maize
33.0,92.0,29.0,22.11,15.47,6.51,137.93,pigeonpeas
54.0,64.0,48.0,37.45,92.09,6.78,170.82,papaya
22.0,18.0,24.0,23.36,89.94,5.76,197.56,pomegranate
101.0,27.0,33.0,27.86,60.24,6.29,210.15,coffee
89.0,52.0,49.0,25.55,85.43,5.88,201.85,rice
108.0,81.0,60.0,28.08,79.46,5.41,137.11,banana
33.0,45.0,21.0,31.29,90.96,7.09,185.9,mungbean
23.0,25.0,24.0,23.46,93.12,6.22,146.5,pomegranate
29.0,52.0,19.0,27.88,84.18,7.46,113.06,mungbean
106.0,8.0,51.0,25.55,91.16,6.69,26.92,muskmelon
14.0,114.0,22.0,18.27,20.22,6.2,136.14,kidneybeans
17.0,47.0,21.0,30.36,48.41,3.96,82.17,mothbeans
20.0,15.0,17.0,30.05,51.51,6.9,113.47,mango
66.0,51.0,48.0,31.36,87.6,6.73,185.93,jute
121.0,49.0,21.0,28.02,75.19,6.03,81.57,cotton
92.0,70.0,48.0,29.57,78.12,6.58,125.39,banana
26.0,70.0,30.0,24.2,19.85,6.54,178.03,pigeonpeas
24.0,13.0,22.0,24.64,49.42,6.43,137.58,mango
28.0,49.0,28.0,26.82,54.23,4.62,95.3,mothbeans
45.0,55.0,26.0,27.04,67.6,6.41,123.5,blackgram
34.0,79.0,18.0,24.7,19.83,6.15,116.55,pigeonpeas
21.0,20.0,20.0,20.95,93.65,6.93,110.96,pomegranate
58.0,60.0,100.0,21.77,20.63,6.0,50.72,chickpea
60.0,34.0,57.0,26.99,85.97,6.4,249.76,rice
16.0,21.0,17.0,21.17,93.9,6.1,103.51,pomegranate
15.0,140.0,203.0,21.1,90.24,6.68,115.99,apple
46.0,56.0,22.0,28.05,68.41,6.82,126.61,blackgram
20.0,19.0,13.0,13.14,97.38,6.27,105.91,orange
22.0,63.0,76.0,17.95,15.86,5.98,90.17,chickpea
111.0,16.0,53.0,24.03,87.01,6.7,44.66,watermelon
96.0,48.0,30.0,20.81,86.64,5.51,174.12,rice
26.0,19.0,31.0,27.32,91.17,6.07,182.2,coconut
99.0,37.0,50.0,26.09,82.38,6.59,205.17,rice
19.0,99.0,28.0,21.29,65.54,7.47,62.95,lentil
103.0,31.0,32.0,23.15,59.36,6.61,185.74,coffee
25.0,60.0,27.0,26.47,87.01,6.5,140.96,mungbean
106.0,78.0,59.0,28.9,80.53,5.63,152.37,banana
28.0,77.0,18.0,24.18,20.52,5.76,110.58,pigeonpeas
38.0,58.0,25.0,30.41,66.62,6.23,163.66,blackgram
15.0,82.0,17.0,22.15,21.41,5.32,177.27,pigeonpeas
31.0,84.0,72.0,22.14,20.07,5.67,75.69,chickpea
22.0,94.0,15.0,22.15,15.93,5.47,105.45,pigeonpeas
23.0,17.0,32.0,27.61,90.43,7.14,142.91,coconut
20.0,106.0,17.0,18.08,18.99,6.84,112.08,kidneybeans
81.0,46.0,49.0,25.81,89.76,6.27,198.44,rice
88.0,31.0,54.0,25.02,80.82,6.81,288.13,rice
23.0,87.0,24.0,19.7,68.74,7.03,53.09,lentil
99.0,82.0,51.0,31.37,75.04,5.9,154.38,banana
89.0,80.0,57.0,30.53,78.56,6.22,141.18,banana
23.0,128.0,17.0,21.75,19.09,6.43,111.13,kidneybeans
71.0,49.0,35.0,22.3,72.45,7.18,68.61,maize
15.0,17.0,13.0,11.24,92.07,7.31,110.3,orange
21.0,54.0,29.0,29.13,50.12,5.34,53.3,mothbeans
42.0,56.0,15.0,27.6,64.99,6.1,119.7,blackgram
73.0,54.0,53.0,26.56,74.86,6.51,229.67,jute
20.0,15.0,16.0,13.52,95.29,6.1,107.24,orange
29.0,118.0,25.0,18.99,20.83,6.49,137.56,kidneybeans
44.0,64.0,17.0,29.66,60.47,7.18,110.4,blackgram
49.0,55.0,47.0,36.15,90.99,7.34,160.83,papaya
31.0,74.0,19.0,31.38,66.39,7.46,141.55,blackgram
11.0,137.0,203.0,23.52,93.81,6.03,129.9,apple
51.0,63.0,50.0,36.66,95.31,7.28,159.11,papaya
53.0,65.0,52.0,37.92,95.8,7.41,135.86,papaya
80.0,53.0,44.0,30.07,71.74,6.73,150.99,jute
13.0,143.0,195.0,21.73,90.97,6.25,112.89,apple
104.0,15.0,47.0,25.32,91.47,6.95,69.71,watermelon
115.0,25.0,31.0,26.69,68.77,6.88,234.2,coffee
17.0,59.0,18.0,26.77,86.07,6.7,179.47,mungbean
16.0,132.0,203.0,21.49,91.35,5.57,110.93,apple
33.0,67.0,30.0,31.46,64.18,7.38,104.74,blackgram
26.0,79.0,25.0,26.98,15.08,6.35,131.68,pigeonpeas
17.0,20.0,17.0,19.83,91.21,5.82,120.52,pomegranate
16.0,49.0,15.0,29.95,54.23,3.98,91.8,mothbeans
20.0,57.0,28.0,28.55,53.32,5.32,52.56,mothbeans
61.0,51.0,44.0,28.46,79.33,6.86,205.1,jute
24.0,17.0,8.0,12.44,93.6,6.5,119.15,orange
25.0,58.0,29.0,26.1,85.67,7.0,115.94,mungbean
22.0,19.0,18.0,19.7,83.79,6.14,67.06,grapes
83.0,50.0,56.0,24.59,73.83,6.83,244.71,jute
85.0,31.0,43.0,27.51,67.03,7.14,138.42,maize
29.0,133.0,35.0,19.04,23.82,6.15,117.38,kidneybeans
27.0,20.0,30.0,26.33,93.07,6.87,130.0,coconut
20.0,17.0,9.0,12.55,90.63,6.88,100.63,orange
21.0,71.0,31.0,20.86,19.08,5.25,105.64,pigeonpeas
130.0,52.0,21.0,26.64,84.71,7.33,116.68,cotton
19.0,23.0,15.0,9.57,84.95,6.06,84.51,grapes
99.0,27.0,30.0,26.81,69.96,6.79,237.7,coffee
22.0,17.0,21.0,19.52,97.56,5.56,119.97,pomegranate
52.0,59.0,51.0,33.05,95.18,7.07,174.3,papaya
117.0,52.0,19.0,24.77,84.83,6.47,79.42,cotton
47.0,70.0,32.0,27.96,61.96,6.74,115.46,blackgram
13.0,98.0,22.0,19.49,65.37,5.91,37.01,lentil
14.0,132.0,202.0,23.14,94.68,5.6,105.77,apple
27.0,51.0,22.0,28.53,83.76,7.26,154.18,mungbean
21.0,23.0,13.0,12.55,95.8,6.75,112.17,orange
96.0,34.0,49.0,21.68,61.54,5.8,80.56,maize
19.0,124.0,35.0,21.08,20.39,6.74,108.54,kidneybeans
11.0,108.0,22.0,20.04,21.69,6.87,125.49,kidneybeans
23.0,20.0,23.0,15.47,81.69,6.82,79.35,grapes
25.0,46.0,24.0,29.92,49.11,6.45,51.52,mothbeans
49.0,60.0,32.0,30.91,71.59,5.42,161.64,blackgram
31.0,99.0,82.0,18.47,18.64,5.74,72.2,chickpea
128.0,43.0,20.0,29.19,75.78,5.92,74.0,cotton
56.0,61.0,53.0,34.26,88.64,6.99,129.27,papaya
99.0,13.0,52.0,25.69,82.2,6.54,68.7,watermelon
43.0,57.0,26.0,27.5,64.02,6.51,165.35,blackgram
55.0,63.0,52.0,33.86,92.38,7.23,163.7,papaya
29.0,98.0,35.0,25.04,16.3,6.76,103.94,pigeonpeas
23.0,16.0,37.0,29.64,95.47,5.05,142.13,coconut
23.0,93.0,23.0,15.36,64.98,6.61,55.15,lentil
18.0,90.0,25.0,21.55,64.18,6.93,68.76,lentil
117.0,43.0,24.0,23.38,83.65,6.92,97.14,cotton
82.0,51.0,55.0,24.75,80.57,6.44,247.26,jute
50.0,59.0,49.0,36.91,94.17,7.17,132.45,papaya
58.0,60.0,47.0,36.81,92.72,6.51,161.81,papaya
111.0,10.0,47.0,26.04,85.18,6.96,63.67,watermelon
50.0,62.0,50.0,36.74,89.7,6.66,136.82,papaya
98.0,32.0,45.0,23.41,74.26,6.18,113.26,maize
18.0,19.0,32.0,29.83,94.79,6.91,164.16,coconut
46.0,63.0,20.0,27.25,72.39,5.57,139.33,blackgram
103.0,10.0,46.0,28.64,84.5,6.61,60.63,watermelon
70.0,41.0,52.0,28.55,71.94,6.89,249.87,jute
48.0,59.0,45.0,36.79,88.46,7.05,139.75,papaya
27.0,23.0,29.0,28.05,97.97,6.79,173.23,coconut
16.0,13.0,19.0,28.98,48.58,6.65,130.28,mango
117.0,46.0,22.0,27.52,76.85,6.25,75.06,cotton
37.0,65.0,22.0,29.13,73.52,5.41,128.61,blackgram
103.0,12.0,55.0,28.17,89.19,6.56,69.24,watermelon
15.0,20.0,17.0,12.98,97.77,6.2,111.37,orange
70.0,38.0,32.0,19.81,68.62,5.86,102.52,maize
57.0,76.0,96.0,18.21,17.81,5.88,82.02,chickpea
22.0,15.0,16.0,11.42,93.57,6.47,105.37,orange
18.0,106.0,28.0,21.88,21.37,6.57,103.42,kidneybeans
20.0,19.0,9.0,11.97,95.87,7.38,105.03,orange
8.0,131.0,196.0,22.3,91.69,5.68,108.88,apple
73.0,57.0,49.0,26.36,85.5,7.28,192.04,jute
45.0,80.0,76.0,24.94,21.04,6.56,78.47,chickpea
52.0,64.0,45.0,37.71,96.59,7.38,153.18,papaya
20.0,63.0,29.0,27.55,50.21,5.34,84.39,mothbeans
111.0,17.0,47.0,31.25,88.92,6.99,36.76,muskmelon
53.0,56.0,51.0,36.09,89.22,6.87,165.52,papaya
22.0,140.0,30.0,19.77,22.24,6.08,111.44,kidneybeans
115.0,41.0,18.0,25.81,79.78,7.0,76.5,cotton
49.0,58.0,51.0,34.53,91.68,6.8,129.01,papaya
17.0,102.0,16.0,19.69,18.51,6.41,144.05,kidneybeans
100.0,16.0,46.0,27.48,90.88,6.47,62.4,watermelon
86.0,45.0,48.0,22.04,61.54,6.84,130.78,maize
24.0,22.0,18.0,22.1,88.2,6.97,148.7,pomegranate
20.0,24.0,38.0,27.84,96.2,7.58,162.62,coconut
34.0,66.0,18.0,26.2,17.67,6.13,153.04,pigeonpeas
94.0,44.0,50.0,19.28,57.08,6.95,107.84,maize
58.0,81.0,72.0,15.77,18.0,6.85,85.35,chickpea
66.0,48.0,52.0,28.83,75.84,7.38,241.51,jute
25.0,50.0,26.0,30.99,48.27,6.53,79.68,mothbeans
86.0,42.0,44.0,26.05,60.4,7.15,99.83,maize
109.0,13.0,45.0,31.56,93.42,6.72,49.05,muskmelon
90.0,81.0,60.0,25.3,72.11,5.92,113.18,banana
113.0,15.0,50.0,25.87,85.57,6.37,36.23,muskmelon
15.0,84.0,19.0,20.88,60.64,7.22,73.27,lentil
25.0,19.0,9.0,14.49,90.3,7.43,113.29,orange
34.0,86.0,70.0,16.92,21.35,5.67,75.3,chickpea
22.0,16.0,14.0,14.85,91.25,7.28,114.05,orange
1.0,145.0,202.0,21.26,90.1,6.58,113.18,apple
18.0,24.0,32.0,29.66,93.96,7.08,83.66,coconut
63.0,40.0,46.0,25.18,74.4,6.02,172.72,jute
28.0,47.0,20.0,25.99,56.88,4.86,86.63,mothbeans
52.0,62.0,47.0,34.16,91.09,6.57,141.59,papaya
101.0,28.0,32.0,25.37,62.77,6.59,226.88,coffee
18.0,48.0,21.0,31.41,54.1,4.97,75.86,mothbeans
67.0,59.0,53.0,27.52,88.95,6.4,288.28,rice
49.0,70.0,31.0,24.26,67.02,6.62,162.25,blackgram
24.0,16.0,21.0,18.85,95.05,7.31,143.46,pomegranate
36.0,68.0,28.0,26.29,66.9,5.48,115.78,blackgram
22.0,99.0,69.0,18.04,16.43,5.89,50.07,chickpea
43.0,63.0,21.0,29.85,63.63,5.43,139.74,blackgram
21.0,42.0,21.0,25.9,91.48,6.82,131.73,mungbean
96.0,9.0,48.0,29.83,87.59,6.37,66.66,watermelon
16.0,46.0,20.0,31.62,84.83,6.8,167.13,mungbean
84.0,37.0,47.0,22.31,59.97,6.73,120.68,maize
104.0,31.0,26.0,27.42,63.16,6.04,241.99,coffee
34.0,64.0,28.0,29.82,60.01,7.34,112.34,blackgram
28.0,54.0,22.0,24.62,53.71,6.37,62.23,mothbeans
17.0,19.0,17.0,16.34,81.25,6.17,74.43,grapes
56.0,56.0,43.0,37.67,89.33,7.31,166.16,papaya
